OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,SHAPE_Length,SHAPE_Area
30,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{5BACE426-04CA-4C0D-A606-09EDA3C56E13},27,THRB,Lands - http://landsnet.nps.gov/tractsnet/documents/THRB/Metadata/thrb_metadata.xml,Theodore Roosevelt Birthplace National Historic Site,2011/03/28 00:00:00+00,NY,NE,2083047,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171836,Theodore Roosevelt Birthplace,114.339082713672,745.141651569712
31,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{839C13C5-C97D-4E0D-80A4-EA932500E66D},28,CACL,Lands - http://landsnet.nps.gov/tractsnet/documents/CACL/Metadata/cacl_metadata.xml,Castle Clinton National Monument,2007/02/16 00:00:00+00,NY,NE,945983,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047919,Castle Clinton,351.834346532362,8988.78823094285
32,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{ADB1E0EE-8885-46EE-86EB-9412A06D4691},29,FEHA,Lands - http://landsnet.nps.gov/tractsnet/documents/FEHA/Metadata/feha_metadata.xml,Federal Hall National Memorial,2017/03/30 00:00:00+00,NY,NE,2057537,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210702,Federal Hall,256.848961343479,3743.23531765569
33,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{EA3CAC16-087A-450C-B28C-F054CA558271},30,GEGR,Lands - http://landsnet.nps.gov/tractsnet/documents/GEGR/Metadata/gegr_metadata.xml,General Grant National Memorial,2013/07/22 00:00:00+00,NY,NE,2733424,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221818,General Grant,299.132817912841,5124.71751194554
34,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{BD35F678-4AD6-4E14-B469-3E67C54A4E37},31,HAGR,Lands - http://landsnet.nps.gov/tractsnet/documents/HAGR/Metadata/hagr_metadata.xml,Hamilton Grange National Memorial,2016/03/28 00:00:00+00,NY,NE,2083660,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047980,Hamilton Grange,763.259575017608,12400.3875630929
35,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{7C6F8785-67AA-45BF-98A1-CE6CF57419D0},32,SAHI,Lands - http://landsnet.nps.gov/tractsnet/documents/SAHI/Metadata/sahi_metadata.xml,Sagamore Hill National Historic Site,2011/07/29 00:00:00+00,NY,NE,970557,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175728,Sagamore Hill,6137.98933299429,586867.933638628
36,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{31F66D54-DD1B-4C4A-943B-AB128204FD2D},33,BOAF,Lands - http://landsnet.nps.gov/tractsnet/documents/BOAF/Metadata/boaf_metadata.xml,Boston African American National Historic Site,2009/03/12 00:00:00+00,MA,NE,1888904,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048143,Boston African American,852.333596740252,4361.29636998808
37,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{ABCD4B29-A094-48CA-8E3B-4C64213DE16A},34,BOHA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOHA/Metadata/boha_metadata.xml,Boston Harbor Islands National Recreation Area,2022/11/23 09:50:36+00,MA,NE,606990,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047911,Boston Harbor Islands,116291.54672675,16461881.358906
38,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{06B3501D-7F74-4148-A90B-42F4E57CC0DC},35,AFBG,Lands - http://landsnet.nps.gov/tractsnet/documents/AFBG/Metadata/afbg_metadata.xml,African Burial Ground National Monument,2008/08/19 00:00:00+00,NY,NE,2060434,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048074,African Burial Ground,202.497940106985,2425.17766758788
39,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{EDACA139-3B67-43B2-9E07-78B5509611F6},36,GOIS,Lands - http://landsnet.nps.gov/tractsnet/documents/GOIS/Metadata/gois_metadata.xml,Governors Island National Monument,2012/08/15 00:00:00+00,NY,NE,2092022,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188823,Governors Island,2618.47663757796,160551.906346351
40,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{BD2EC875-D837-4857-A750-33C5C227D4B4},37,LOWE,Unofficial Boundary of Lowell National Historical Park.,Lowell National Historical Park,2013/12/18 00:00:00+00,MA,NE,1888940,National Historical Park,RISD,Preliminary data. Contact the Land Resources Program for additional information.,Lowell,28370.9681061424,896082.265557991
41,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{FEF5377B-13B5-4609-B018-7E5BE3C0311E},38,ROWI,Lands - http://landsnet.nps.gov/tractsnet/documents/ROWI/Metadata/rowi_metadata.xml,Roger Williams National Memorial,2011/09/30 00:00:00+00,RI,NE,1904107,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215978,Roger Williams,986.148595396037,33122.4771050033
42,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{BA7D825C-019C-4476-85BA-806BE4BB2176},40,NEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/NEBE/Metadata/nebe_metadata.xml,New Bedford Whaling National Historical Park,2011/07/15 00:00:00+00,MA,NE,2733436,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175722,New Bedford Whaling,2356.79662419693,225913.562278997
43,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{427E2EEE-5773-4AB7-8C41-26B4E8647290},42,WEFA,Lands - http://landsnet.nps.gov/tractsnet/documents/WEFA/Metadata/wefa_metadata.xml,Weir Farm National Historical Park,2015/08/27 00:00:00+00,CT,NE,1888972,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224530,Weir Farm,5712.69645241466,492352.385694045
44,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{A50954F3-C393-4C54-BD89-72B043013877},43,MABI,Lands - http://landsnet.nps.gov/tractsnet/documents/MABI/Metadata/mabi_metadata.xml,Marsh-Billings-Rockefeller National Historical Park,2011/09/21 00:00:00+00,VT,NE,1888942,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196723,Marsh - Billings - Rockefeller,16454.0429385168,4988704.0320693
45,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{FC5C5645-47A6-4E20-B513-40D20C656600},44,WORI,Lands - http://landsnet.nps.gov/tractsnet/documents/WORI/Metadata/wori_metadata.xml,Women's Rights National Historical Park,2011/08/19 00:00:00+00,NY,NE,1888975,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175720,Women's Rights,2486.26715960158,56856.838274115
46,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{BE2CC1E7-4160-4849-8964-D36DBF925729},46,FRLA,Lands - http://landsnet.nps.gov/tractsnet/documents/FRLA/Metadata/frla_metadata.xml,Frederick Law Olmsted National Historic Site,2016/03/01 00:00:00+00,MA,NE,1971618,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229063,Frederick Law Olmsted,1623.19685236484,51737.2486581323
47,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{22799550-BD27-4656-9A1C-AAD5C71E31AD},47,KNRI,Lands - http://landsnet.nps.gov/tractsnet/documents/KNRI/Metadata/knri_metadata.xml,Knife River Indian Villages National Historic Site,2012/04/03 00:00:00+00,ND,MW,1888938,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2185777,Knife River Indian Villages,27551.891876408,15618816.9359937
48,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{ABCF9B8F-CC55-457A-A4D4-9756766A1781},49,BADL,Lands - http://landsnet.nps.gov/tractsnet/documents/BADL/Metadata/badl_metadata.xml,Badlands National Park,2022/04/18 00:00:00+00,SD,MW,1265096,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224522,Badlands,549503.380513198,1879080773.97731
49,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{0AA660C0-829B-4902-8F72-54EB915EB840},50,BICA,Lands - http://landsnet.nps.gov/tractsnet/documents/BICA/Metadata/bica_metadata.xml,Bighorn Canyon National Recreation Area,2023/03/17 13:05:54+00,MT,IM,767934,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182227,Bighorn Canyon,432452.96460369,974077350.798905
50,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{26A626B9-4F51-4234-80F2-7F34A856931A},51,CANY,Lands - http://landsnet.nps.gov/tractsnet/documents/CANY/Metadata/cany_metadata.xml,Canyonlands National Park,2010/04/26 00:00:00+00,UT,IM,1448008,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165304,Canyonlands,353937.357319383,2196490657.21556
51,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{B2F52885-97BB-4560-9188-0DDC733ACF3B},52,ARCH,Lands - http://landsnet.nps.gov/tractsnet/documents/ARCH/Metadata/arch_metadata.xml,Arches National Park,2023/03/13 13:42:21+00,UT,IM,1455716,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239940,Arches,167803.697781215,509081047.001577
52,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{55EC2D23-9141-4139-AC9A-B807FEE078D6},53,NABR,Lands - http://landsnet.nps.gov/tractsnet/documents/NABR/Metadata/nabr_metadata.xml,Natural Bridges National Monument,2010/07/12 00:00:00+00,UT,IM,1454484,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166445,Natural Bridges,51685.5375099086,49150258.4400416
53,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{D637EA10-988C-44A9-BA6A-9268CEA3C293},54,BLCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BLCA/Metadata/blca_metadata.xml,Black Canyon of the Gunnison National Park,2023/03/13 13:45:01+00,CO,IM,203271,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047909,Black Canyon of the Gunnison,113089.80898383,207094308.261362
54,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{FAC35EF8-BF7B-4306-9E82-285C286E0933},55,COLM,Lands - http://landsnet.nps.gov/tractsnet/documents/COLM/Metadata/colm_metadata.xml,Colorado National Monument,2016/04/01 00:00:00+00,CO,IM,202252,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2203268,Colorado,82194.0943789699,137403444.949046
55,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{9BC0952F-FB30-4A07-8209-3F44A8CC7895},56,CURE,Lands - http://landsnet.nps.gov/tractsnet/documents/CURE/Metadata/cure_metadata.xml,Curecanti National Recreation Area,2017/05/25 00:00:00+00,CO,IM,196412,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210701,Curecanti,329290.012818828,273475556.258549
56,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{5EC2CA05-B2D2-462E-9A57-4DD64A0FF233},57,LIBI,Lands - http://landsnet.nps.gov/tractsnet/documents/LIBI/Metadata/libi_metadata.xml,Little Bighorn Battlefield National Monument,2005/02/23 00:00:00+00,MT,IM,806297,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048009,Little Bighorn Battlefield,19524.580414683,6437512.95065337
57,2023/10/13 12:14:25+00,NPS_WASO_LANDS,2023/10/13 12:14:25+00,NPS_WASO_LANDS,{E7D3E52A-F8CB-4BFD-9190-1BAE7C54582F},58,DETO,Lands - http://landsnet.nps.gov/tractsnet/documents/DETO/Metadata/deto_metadata.xml,Devils Tower National Monument,2014/12/08 00:00:00+00,WY,IM,2733421,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2220218,Devils Tower,15024.9283481147,10774321.4223909
